Equipamento;Denominação do objeto técnico;Centro planejamento;Código ABC;Campo de ordenação;Centro custo;Ctg.equipamento;Local de instalação;Denominação do loc.instalação;Status do sistema;Empresa;Centro de trabalho;Tipo objeto técnico
PHI010;PRENSA HIDRAULICA MANUAL 25T;1000;F;NÍVEL 1 - FÁCIL;PB2-81230;M;1000-FABCE-MGEST;FÁBRICA CENTRAL MG - ESTAMPARIA;MONT;1010;PHI010;PHI
PHI012;PRENSA HIDRAULICA 500T MESA 2X2;1000;F;NÍVEL 4 - COMPLEXO;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;PHI012;PHI
PHI013;PRENSA HIDRAULICA MANUAL 20T ENERPAC;1000;C;;PB2-81130;M;1000-FABCE-ESTAM;FÁBRICA CENTRAL ESTAMPARIA;INAT MONT;1010;;PHI
PHI014;PRENSA HIDRAULICA 400T MARCA FKL;1000;E;NÍVEL 3 - DIFÍCIL;PB2-81190;M;1000-FABCE-CORTC;FÁBRICA CENTRAL CORTE CONVENCIONAL;MONT;1010;PHI014;PHI
PHI015;PRENSA HIDROPNEUMATICA 45 TONELADAS GUIT;1000;F;NÍVEL 2 - MÉDIO;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;PHI015;PHI
PHI016;PRENSA HIDRAULICA CAP. 450 TON;1000;F;;PB2-81230;M;1000-FABSL-SLPER-CHLAT2;FÁBRICA UENSILOS LINHA PER CHAPA LAT 2;INAT MONT;1010;PHI016;PHI
PHI017;PRENSA HIDRAULICA CAP. 450 TON;1000;F;;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;INAT MONT;1010;PHI017;PHI
PHI018;PRENSA HIDRAULICA CAP. 520TON;1000;E;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER015;FÁBRICA UENSILOS LINHA PER MONTANTE;AEQS;1010;PER015;PHI
PHI019;PRENSA HIDRAULICA DAN-FRESSE;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER023;FÁBRICA UENSILOS LINHA PER CHAPA TELHADO;AEQS;1010;PER023;PHI
PHI020;PR HID P/MONT ROLAMEN-CORAZZA;1000;F;NÍVEL 2 - MÉDIO;PB2-81170;M;1000-PINTU-MONTA;PINTURA MONTAGEM;MONT;1010;;PHI
PHI022;PRENSA HIDRÁULICA DIVIMEC;1000;E;NÍVEL 2 - MÉDIO;PB2-81260;M;1000-FABSL-SLPER-PER015;FÁBRICA UENSILOS LINHA PER MONTANTE;AEQS;1010;PER015;PHI
